ESRS number,,Digital maturity level,,,,
Energy consumption,Data historian,"Data historians collect detailed historical data, allowing operators to visualize and identify inefficiencies such as motors drawing excess current or equipment remaining idle for extended periods. This insight forms the foundation for reducing energy consumption by highlighting areas for corrective actions.","Data historians enable in-depth analysis of historical operational data, allowing for the identification of inefficiencies like energy spikes or prolonged idle times. These diagnostics enable manufacturers to pinpoint the root causes of energy waste, leading to targeted actions to reduce energy consumption.","Data historians store large volumes of data that can be used to train predictive models, helping forecast energy inefficiencies and potential peaks. This predictive capability allows for proactive adjustments to minimize future energy waste, leading to more efficient energy use.","By providing integrated data to optimization engines, data historians support real-time decision-making that helps optimize energy consumption. These recommendations include load balancing, operational scheduling, or adjustments to equipment settings, reducing excess energy usage and lowering overall consumption.","Fully integrated data historians support real-time machine learning applications, enabling autonomous adjustments to processes that optimize energy usage. These adaptive systems continuously analyze energy consumption data and adjust operations in real-time, ensuring continuous improvement in energy efficiency without human intervention."
Energy consumption,Industrial connectivity (on prem),"Reliable connectivity ensures that data from machines and sensors is transmitted to SCADA/MES systems without delays. This visibility helps operators monitor energy consumption in real-time, enabling quicker identification of inefficiencies and promoting actions to reduce energy consumption.","By enabling local edge analytics, industrial connectivity helps detect inefficiencies or deviations in real-time, such as machines running at high energy consumption levels. Early detection leads to corrective actions that reduce energy waste and improve overall efficiency.","Industrial connectivity allows edge devices to run predictive models on live sensor data, forecasting when machines are likely to consume excessive energy or fail. By anticipating inefficiencies, proactive measures can be taken to reduce energy consumption before problems arise.","By feeding optimized setpoints to machines in real-time, industrial connectivity helps adjust operational parameters to optimal energy-efficient settings. This reduces unnecessary energy consumption and ensures machines operate at peak efficiency, leading to energy savings across processes.","In fully integrated CPS, industrial connectivity enables autonomous coordination of devices through local AI agents. This ensures continuous, real-time optimization of energy consumption, making adjustments on the fly to minimize waste and improve energy efficiency across operations."
Energy consumption,Digital twin,"By creating a virtual representation of real-world systems, digital twins provide manufacturers with insights into current energy consumption and process states. This allows for the identification of inefficiencies, which can be addressed to reduce energy usage and improve efficiency.","Digital twins simulate potential faults and inefficiencies in production processes, helping to identify situations that could lead to energy waste, such as machine malfunctions or inefficient operational conditions. By diagnosing these issues virtually, manufacturers can avoid energy waste before it occurs in the real system.","By running predictive “what-if” scenarios, digital twins allow manufacturers to anticipate energy consumption outcomes under various operational settings. This helps optimize energy usage before making physical changes, reducing trial-and-error and minimizing energy waste in the actual production environment.","Digital twins allow manufacturers to optimize process parameters in the virtual model and then implement these updates in the real world. This helps achieve optimal energy consumption, ensuring that machines operate at peak efficiency and reducing unnecessary energy use across the manufacturing process.","In a fully integrated system, digital twins enable real-time optimization of energy consumption through a closed-loop control system. The virtual and real machines co-evolve, dynamically adjusting operations to minimize energy waste and maximize energy efficiency across the production process."
Energy consumption,Advanced process control,N/A,N/A,N/A,"By computing optimal moves based on real-time data, APC ensures that processes are operating at the most energy-efficient levels. This helps prevent over-processing and reduces unnecessary energy consumption, leading to lower overall energy usage.","Self-learning MPC optimizes process variables continuously and adapts in real time, ensuring processes are always operating at peak efficiency. This minimizes energy waste by adjusting variables such as temperature profiles and chemical feed rates, resulting in significant reductions in energy consumption over time."
Energy consumption,Manufacturing control tower,"MCTs track key performance indicators (KPIs) across the plant, giving operators visibility into energy consumption patterns. This allows for the identification of inefficiencies, such as idle machines or suboptimal settings, which helps reduce unnecessary energy consumption and improve overall energy efficiency.","By identifying the root causes of production delays or inefficiencies through integrated data views, MCTs can help detect when energy is being wasted (e.g., during idle periods or machine downtime). This enables corrective actions to improve energy efficiency and reduce unnecessary energy consumption.","MCTs forecast potential production issues, including demand-supply mismatches or machine failures. By predicting these issues, MCTs enable proactive adjustments that minimize energy waste, such as adjusting production schedules or machine usage to avoid peak energy consumption periods.","By recommending actions like rescheduling production or rerouting operations, MCTs optimize the use of energy across the entire production floor. These adjustments reduce energy consumption by minimizing inefficiencies such as overproduction or unnecessary machine operation, leading to better overall energy efficiency.","Fully integrated MCTs use real-time AI-driven decisions to autonomously optimize production processes, including energy use. By adjusting operations on the fly, these systems reduce unnecessary energy consumption by ensuring machines and processes always run at optimal efficiency, minimizing waste and improving energy efficiency."
Energy consumption,Statistical process control,"By monitoring OEE and defect rates, SPC provides insights into process performance. While the direct impact on energy consumption may be small, SPC helps identify inefficiencies that can lead to excess energy use. This visibility contributes to better management of resources, improving overall efficiency.","By diagnosing the root causes of variability, SPC allows manufacturers to address issues that might lead to inefficiencies, such as inconsistent equipment operation. Reducing variability can lead to fewer energy-intensive adjustments, contributing to overall energy savings and process optimization.","Predictive capabilities in SPC help forecast potential process issues before they result in wasteful energy consumption. By anticipating drift and adjusting operations proactively, SPC reduces the need for excessive energy use and ensures more efficient energy consumption over time.","SPC provides real-time recommendations to optimize process parameters, reducing defects and the need for rework. These optimizations prevent overproduction and inefficiencies, which helps lower energy consumption and improves resource efficiency.","Fully automated SPC systems continuously monitor and adjust processes in real time, reducing the occurrence of out-of-spec parts and unnecessary process runs. This not only improves process stability but also minimizes the need for additional energy consumption, contributing to overall energy efficiency."
Energy consumption,Augmented reality,"AR provides a visual representation of energy consumption data on the shop floor, helping operators easily view and assess how much energy machines are using. This visibility allows for better decision-making regarding energy management, contributing to more efficient energy usage.","AR overlays allow operators to quickly identify areas of inefficiency, such as machines running at higher energy levels than necessary. By diagnosing these inefficiencies, operators can take corrective actions to reduce energy consumption, leading to energy savings and reduced waste.","AR can simulate production processes and predict areas where energy consumption might increase or become inefficient. This predictive capability allows operators to anticipate problems before they occur and adjust processes proactively to reduce energy waste, improving energy efficiency on the shop floor.","AR provides real-time guidance on how to perform tasks with energy efficiency in mind, suggesting optimized procedures to minimize energy consumption. By overlaying instructions that promote energy-saving practices, AR directly helps reduce unnecessary resource consumption and improve energy use.","Fully integrated AR systems use real-time data to automatically adjust the virtual environment, optimizing processes to reduce energy consumption. By continuously adapting and updating workflows to reflect the most energy-efficient methods, AR helps minimize resource waste and ensures that energy is used efficiently throughout the production process."
GHG emissions,ERP (enterprise resource planning),"ERP provides real-time data on production quantities and waste, helping to identify overproduction and areas where waste can be reduced, minimizing associated greenhouse gas emissions.","ERP analyzes production data to diagnose reasons for overproduction, such as poor demand forecasting, allowing for targeted interventions to reduce waste and emissions.","ERP uses predictive analytics to forecast future production scenarios, identifying potential overproduction or waste, allowing businesses to adjust operations before waste occurs, thereby reducing emissions.","ERP suggests production plans designed to optimize resource use, reduce waste, and prevent overproduction, contributing to a reduction in greenhouse gas emissions associated with excess manufacturing.","ERP dynamically adjusts production schedules based on real-time demand, minimizing waste and overproduction by preventing excess production and reducing emissions in real time."
GHG emissions,APS (advanced planning and scheduling),"APS offers visibility into energy consumption patterns, including electricity usage, helping managers identify areas where energy consumption can be reduced, particularly during high-intensity grid periods.","APS identifies patterns of energy consumption that contribute to Scope 2 emissions, helping pinpoint when and where electricity consumption can be optimized to reduce overall emissions.","APS predicts energy consumption and integrates emissions intensity data to forecast when energy-intensive tasks can be shifted to periods with lower emissions or renewable energy availability, reducing Scope 2 emissions.","APS generates optimized production schedules that reduce energy consumption during high-emission periods by aligning production with times when the grid's emissions intensity is lower, directly reducing Scope 2 emissions.","APS autonomously adjusts production schedules in real time, ensuring energy-intensive tasks are automatically shifted to times with lower emissions intensity, reducing Scope 2 emissions by aligning production with cleaner energy periods."
GHG emissions,MES (manufacturing execution system),"MES provides visibility into real-time energy consumption, enabling operators to detect inefficiencies and excessive energy use, which directly impacts Scope 2 emissions by helping reduce energy consumption.","MES identifies patterns of energy use and inefficiencies, allowing operators to pinpoint the root causes of excessive energy consumption, thus enabling targeted actions that help lower Scope 2 emissions.","MES predicts energy consumption and anticipates high-demand periods based on historical data, helping operators optimize energy usage and shift production to times of lower energy intensity, contributing to Scope 2 emissions reduction.","MES generates optimized production schedules or recommends maintenance actions that minimize energy consumption, helping align energy-intensive processes with off-peak times or low-emission periods to reduce Scope 2 emissions.","MES automatically adjusts production schedules in real time to reduce energy consumption, ensuring that energy-intensive tasks are shifted to periods of low energy demand, directly decreasing Scope 2 emissions."
GHG emissions,SCADA (supervisory control and data acquisition),"SCADA provides visibility into fuel and gas usage in real-time, helping operators identify areas where energy consumption could be optimized, offering a foundation for improving process efficiency and reducing CO₂ and HFC emissions.","SCADA tracks energy consumption patterns and helps diagnose inefficiencies in heating or cooling loops, such as overuse of fuel or gas, pinpointing areas for improvement to reduce emissions like CO₂ and HFCs.","SCADA uses predictive analytics to forecast future inefficiencies, such as increased fuel or gas usage in heating or cooling systems, enabling operators to take preventive actions before emissions increase, thus lowering CO₂ and HFC emissions.","SCADA generates recommendations to fine-tune heating or cooling systems, such as adjusting temperatures or controlling combustion in furnaces or boilers to minimize fuel use, directly reducing CO₂ and HFC emissions.","SCADA autonomously adjusts process conditions (such as heating or cooling loop settings) based on real-time data, optimizing fuel and gas consumption to lower CO₂ and HFC emissions without operator intervention."
GHG emissions,PLC (programmable logic controller),"PLCs provide visibility into machine usage and energy consumption in real-time, helping operators identify where unnecessary idling or inefficient operations occur, offering a foundation for reducing Scope 1 emissions through optimized control.","PLCs analyze operational data to detect inefficiencies like machine idling or excessive heating, helping diagnose and address areas where fuel or electricity consumption can be reduced, thereby lowering Scope 1 emissions.","PLCs predict equipment failures or inefficiencies, like malfunctioning HVAC or tool power systems, which may lead to unnecessary fuel or electricity consumption, enabling preventive actions that reduce CO₂ emissions by minimizing energy waste.","PLCs automatically adjust machine settings or HVAC system parameters to minimize energy consumption, such as by preventing unnecessary machine idling or optimizing heating systems, directly reducing Scope 1 emissions.","PLCs use adaptive logic to autonomously adjust machine or HVAC control systems in real-time, optimizing energy use and minimizing CO₂ emissions by dynamically managing tool power and heating/cooling cycles without operator intervention."
GHG emissions,HMI (human-machine interface),"HMI systems provide visibility into real-time energy consumption and process status, enabling operators to identify areas where energy use is high and take action to reduce Scope 2 emissions by minimizing unnecessary energy usage.","HMI systems aggregate and analyze energy consumption data, helping identify inefficiencies like idle machines or energy use during non-optimal times, providing insights that help reduce energy consumption and Scope 2 emissions.","HMI systems predict potential inefficiencies by analyzing trends and forecasting energy usage spikes, allowing operators to adjust processes proactively, preventing energy waste, and reducing Scope 2 emissions.","HMI systems suggest process adjustments to optimize energy consumption, such as stopping idle machines or adjusting operational parameters, directly contributing to Scope 2 emission reductions by reducing energy waste.",
GHG emissions,DCS (distributed control system),"DCS systems provide real-time energy monitoring, helping identify inefficiencies in energy-intensive processes, such as over-processing or excessive heating/cooling, providing a foundation for reducing energy use and Scope 2 emissions.","DCS systems diagnose operational inefficiencies that lead to increased energy consumption, such as overuse of energy during heating/cooling cycles or unstable control, enabling targeted corrective actions to lower energy usage and Scope 2 emissions.","DCS systems predict when energy inefficiencies might arise due to drift in control loops or other operational issues, allowing operators to proactively adjust processes before energy waste occurs, resulting in lower Scope 2 emissions.","DCS systems reduce energy consumption by automatically implementing optimized control strategies like MPC, which fine-tune processes such as furnace cycles or plasma operations in real-time, minimizing energy use and Scope 2 emissions.","DCS systems autonomously adjust energy usage by continuously optimizing process parameters with AI models, ensuring the system operates at peak energy efficiency without human intervention, resulting in continuous Scope 2 emission reductions."
GHG emissions,Cloud-based storage,"Centralizing data storage in the cloud reduces the need for energy-intensive local servers and IT infrastructure, shifting data management to optimized, often renewable-powered data centers, contributing to a more efficient energy profile and reducing Scope 2 emissions.","By analyzing historical and real-time data across systems and production lines, cloud-based storage helps identify energy inefficiencies and underutilized processes, allowing manufacturers to make adjustments that reduce unnecessary energy consumption and Scope 2 emissions.","Cloud-based storage enables the aggregation of data across multiple sites, which facilitates the development of predictive models for energy optimization. This forecasting helps identify and mitigate inefficiencies before they arise, ultimately reducing energy consumption and Scope 2 emissions.","By integrating cloud storage with optimization engines, manufacturers can implement multi-site prescriptive analytics, ensuring energy loads are balanced across locations, which improves energy efficiency and reduces Scope 2 emissions by preventing overuse and waste.","Cloud-edge systems enable real-time, adaptive optimization of energy consumption across multiple sites. These systems autonomously adjust operations in real time, reducing unnecessary energy consumption and improving energy efficiency across sites, leading to continuous reductions in Scope 2 emissions."
GHG emissions,IIoT (industrial internet of things),"IIoT systems provide foundational real-time data on machine operations and building systems like HVAC and lighting. This data enables operators to monitor energy consumption, detect inefficiencies, and make adjustments that reduce wasted fuel use and lower Scope 1 and 2 CO₂ emissions.","IIoT systems analyze data locally to detect issues like HVAC running inefficiently or lighting being left on in unoccupied areas. By diagnosing these inefficiencies, IIoT systems help prevent wasted energy use, reducing Scope 1 and 2 CO₂ emissions by ensuring energy is only used when necessary.","IIoT systems use predictive analytics to forecast when inefficiencies in systems like HVAC or lighting will occur. By anticipating these inefficiencies, operators can take proactive measures to adjust systems before excessive energy consumption happens, helping reduce Scope 1 and 2 CO₂ emissions.","IIoT systems automatically adjust machines and building systems, such as HVAC and lighting, in real-time based on occupancy or process needs. These adjustments minimize energy waste, directly reducing fuel consumption and Scope 1 emissions from heating or cooling and lowering Scope 2 CO₂ emissions from electricity use.","IIoT systems autonomously adjust HVAC, lighting, and machine settings in real-time based on data inputs, optimizing energy consumption across the factory or building. This continuous optimization reduces wasted energy and CO₂ emissions, making operations more energy-efficient and lowering Scope 1 and 2 emissions."
GHG emissions,Edge device,"Edge devices provide real-time monitoring of process conditions, enabling early detection of deviations that could lead to excess emissions (e.g., solvent vapors or acid mist). This visibility allows operators to take quick actions before emissions escalate.","By analyzing local data, edge devices can detect process anomalies, such as temperature or pressure deviations, which are indicative of conditions that could lead to emissions. This localized diagnosis allows for immediate corrections, preventing excess emissions from occurring.","Predictive models run on edge devices forecast potential deviations that could result in excess emissions, such as solvent vapors or acid mist. These forecasts enable proactive actions to prevent the escalation of emissions before they happen, improving environmental sustainability.","Edge devices provide real-time recommendations, pushing optimized setpoints to machines to maintain operational stability. This prevents conditions that could lead to excess emissions, ensuring processes stay within safe, sustainable parameters and reducing the risk of waste or hazardous releases.","With fully integrated systems and local AI agents, edge devices autonomously adjust machine operations in real time. This continuous optimization ensures that emissions such as solvent vapors or acid mist are minimized by responding to changes as they occur, without requiring manual intervention, thus reducing environmental impact and improving sustainability."
GHG emissions,Data lake/store/base,"Data lakes centralize energy consumption data and provide visibility into past energy usage patterns. This insight helps manufacturers understand where energy is being consumed inefficiently, forming a basis for targeted actions to reduce Scope 2 emissions by addressing energy inefficiencies.","By enabling the analysis of historical energy usage and operational data, data lakes help diagnose inefficiencies and areas where energy consumption can be reduced. This reduces Scope 2 emissions by improving energy efficiency through targeted corrective actions based on past performance trends.","With predictive analytics, data lakes help anticipate energy consumption peaks and inefficiencies before they occur. This foresight enables proactive adjustments to operations, reducing unnecessary energy usage and Scope 2 emissions by ensuring energy is used more efficiently during high-demand periods.","Data lakes integrate with optimization engines to provide real-time data-driven recommendations for energy efficiency. By optimizing energy usage and balancing loads, these recommendations help reduce Scope 2 emissions by preventing energy waste and ensuring energy is used in the most efficient manner across the production process.","Fully integrated data lakes support real-time machine learning applications, enabling autonomous adjustments to processes that optimize energy consumption. By continuously adjusting operations based on real-time data, these adaptive systems reduce energy waste and Scope 2 emissions, ensuring energy efficiency throughout the operation."
GHG emissions,Data historian,"Data historians collect and store historical energy usage data, offering insights into inefficiencies like idle equipment or excessive energy consumption. By identifying these inefficiencies, manufacturers can take action to reduce energy consumption, which leads to a reduction in Scope 2 emissions associated with energy use.","By enabling diagnostic queries of past energy usage and operational trends, data historians help identify areas where energy consumption is higher than necessary. This allows manufacturers to implement targeted improvements, reduce energy waste, and lower Scope 2 emissions by optimizing energy use.","Data historians store large datasets, which can be used to develop predictive models that forecast energy consumption peaks and inefficiencies. By anticipating energy demand and inefficiencies in advance, manufacturers can take proactive measures to optimize energy use, reducing Scope 2 emissions.","Data historians support optimization engines that recommend real-time actions, such as load balancing or adjusting schedules, to minimize energy consumption. By optimizing energy usage across operations, these recommendations help reduce Scope 2 emissions associated with electricity consumption.","With real-time data streaming and machine learning, data historians enable autonomous systems to continuously adjust operations for maximum energy efficiency. These adaptive systems reduce energy consumption by responding in real-time to changes in operational conditions, helping minimize Scope 2 emissions through better energy management."
GHG emissions,Industrial connectivity (on prem),"Reliable industrial connectivity ensures the transmission of real-time data, enabling operators to identify areas of high energy consumption. This visibility helps reduce energy waste by allowing for immediate corrective actions, contributing to a reduction in Scope 2 emissions by optimizing energy use.","By enabling local edge analytics, industrial connectivity helps detect inefficiencies like energy spikes or equipment running idle. Early diagnosis of these inefficiencies enables corrective actions that prevent excessive energy consumption, helping to lower Scope 2 emissions by improving energy efficiency.","Industrial connectivity allows predictive models to forecast energy consumption peaks and inefficiencies. By anticipating these events, operators can take proactive actions to reduce energy use during high-demand periods, contributing to a decrease in Scope 2 emissions.","By transmitting real-time optimized setpoints, industrial connectivity helps adjust processes to more efficient energy consumption levels. These adjustments prevent unnecessary energy waste and ensure machines operate at peak efficiency, resulting in lower Scope 2 emissions associated with electricity use.","In fully integrated CPS, industrial connectivity enables autonomous systems to continuously optimize energy usage in real-time. This dynamic adjustment of processes reduces energy waste, leading to ongoing energy savings and a significant reduction in Scope 2 emissions by ensuring energy consumption is minimized without human intervention."
GHG emissions,Digital twin,"Digital twins help reduce Scope 2 emissions by offering visibility into energy consumption patterns. By identifying energy inefficiencies, such as excess energy use during idle times, manufacturers can address these issues, resulting in reduced energy consumption and lower Scope 2 CO₂ emissions. Additionally, digital twins of building systems (like HVAC) help optimize energy use, contributing to lower Scope 1 emissions.","By diagnosing potential inefficiencies before they manifest in real processes, digital twins help manufacturers correct issues early, minimizing excess energy consumption and Scope 2 CO₂ emissions. In building systems, such diagnostics prevent HVAC-related faults that could lead to increased fuel consumption, lowering Scope 1 emissions as well.","Predictive simulations using digital twins allow manufacturers to test energy consumption under different operational scenarios. By predicting energy peaks and inefficiencies, manufacturers can make adjustments in advance to prevent excessive energy use, reducing Scope 2 CO₂ emissions. Digital twins of HVAC systems help predict fuel use, enabling energy-saving adjustments that further reduce Scope 1 emissions.","By optimizing operational parameters virtually and pushing updates to real-world systems, digital twins ensure machines and building systems, such as HVAC, operate at peak efficiency. This leads to direct reductions in energy consumption, lowering Scope 2 CO₂ emissions. In HVAC systems, these optimizations cut fuel use, reducing Scope 1 emissions from heating and cooling processes.","Fully integrated digital twins autonomously adjust machines and building systems (e.g., HVAC) in real-time to maintain optimal energy efficiency. These dynamic, adaptive adjustments ensure that energy consumption is minimized continuously, leading to reduced Scope 2 CO₂ emissions. In the case of HVAC, these adjustments also reduce Scope 1 emissions by cutting unnecessary fuel usage."
GHG emissions,Advanced process control,N/A,N/A,N/A,"By computing optimal adjustments in real-time, APC ensures that energy is consumed efficiently, preventing over-processing and unnecessary energy use. This real-time optimization helps reduce Scope 2 emissions by lowering the energy consumption associated with inefficient operations.","Self-learning MPC allows APC to adapt in real-time, ensuring that processes continuously operate at their most energy-efficient levels. By dynamically adjusting variables like temperature and chemical feed rates, APC helps to minimize energy waste, resulting in reduced Scope 2 emissions over time."
