,Question,Answer,Maturity level,ESG,ESRS impact,,,
Policy future,"Within the policy dimension (strategy, formalization), what is your goal for your digital Scope 1 integration? Please click on the description that best fits your company's future desired situation. ","Digital audits are required to monitor Scope 1 emissions drivers, such as fuel use, refrigerants, and process gases, enabling diagnostics and performance reviews.",2,Environmental,GHG emissions,,,
Policy future,"Within the policy dimension (strategy, formalization), what is your goal for your digital Scope 1 integration? Please click on the description that best fits your company's future desired situation. ",Policies require predictive models that forecast Scope 1 emissions based on operational plans and identify high-emission scenarios in advance.,3,Environmental,GHG emissions,,,
Policy future,"Within the policy dimension (strategy, formalization), what is your goal for your digital Scope 1 integration? Please click on the description that best fits your company's future desired situation. ","Prescriptive control systems are used in real time to optimise operations and reduce Scope 1 emissions, based on defined thresholds and operational data.",4,Environmental,GHG emissions,,,
Policy future,"Within the policy dimension (strategy, formalization), what is your goal for your digital Scope 1 integration? Please click on the description that best fits your company's future desired situation. ","Policies mandate autonomous optimisation of Scope 1 emissions, with AI-driven systems adjusting processes without manual input, while governance ensures oversight and validation.",5,Environmental,GHG emissions,,,
People current,"Within the people dimension (skills, knowledge), what is your digital air pollutant competency? Please click on the description that best fits your company's current situation. ",Awareness campaigns highlight air pollution sources and health/environmental risks. Most employees have limited access to emissions data or tools.,1,Environmental,Air pollution,,,
People current,"Within the people dimension (skills, knowledge), what is your digital air pollutant competency? Please click on the description that best fits your company's current situation. ",Targeted employees receive training on diagnostic tools to trace the root causes of air pollutant emissions. Monitoring is reactive but increasingly systematic.,2,Environmental,Air pollution,,,
People current,"Within the people dimension (skills, knowledge), what is your digital air pollutant competency? Please click on the description that best fits your company's current situation. ",Trained employees respond to predictive alerts and forecasts warning of potential emissions spikes. Actions are taken in advance to avoid exceedances.,3,Environmental,Air pollution,,,
People current,"Within the people dimension (skills, knowledge), what is your digital air pollutant competency? Please click on the description that best fits your company's current situation. ",Employees collaborate with prescriptive digital systems that recommend real-time operational adjustments to reduce emissions. Confirmations and feedback are logged in production systems.,4,Environmental,Air pollution,,,
People current,"Within the people dimension (skills, knowledge), what is your digital air pollutant competency? Please click on the description that best fits your company's current situation. ","Peer-learning platforms support ongoing knowledge exchange. Employees co-develop solutions with adaptive systems, embedding emissions minimization practices across operations.",5,Environmental,Air pollution,,,
People future,"Within the people dimension (skills, knowledge), what is your goal for your digital air pollutant competency? Please click on the description that best fits your company's future desired situation. ",Awareness campaigns highlight air pollution sources and health/environmental risks. Most employees have limited access to emissions data or tools.,1,Environmental,Air pollution,,,
People future,"Within the people dimension (skills, knowledge), what is your goal for your digital air pollutant competency? Please click on the description that best fits your company's future desired situation. ",Targeted employees receive training on diagnostic tools to trace the root causes of air pollutant emissions. Monitoring is reactive but increasingly systematic.,2,Environmental,Air pollution,,,
People future,"Within the people dimension (skills, knowledge), what is your goal for your digital air pollutant competency? Please click on the description that best fits your company's future desired situation. ",Trained employees respond to predictive alerts and forecasts warning of potential emissions spikes. Actions are taken in advance to avoid exceedances.,3,Environmental,Air pollution,,,
People future,"Within the people dimension (skills, knowledge), what is your goal for your digital air pollutant competency? Please click on the description that best fits your company's future desired situation. ",Employees collaborate with prescriptive digital systems that recommend real-time operational adjustments to reduce emissions. Confirmations and feedback are logged in production systems.,4,Environmental,Air pollution,,,
People future,"Within the people dimension (skills, knowledge), what is your goal for your digital air pollutant competency? Please click on the description that best fits your company's future desired situation. ","Peer-learning platforms support ongoing knowledge exchange. Employees co-develop solutions with adaptive systems, embedding emissions minimization practices across operations.",5,Environmental,Air pollution,,,
Process current,"Within the process dimension (equipment, production), what is your digital air pollutant intelligence? Please click on the description that best fits your company's current situation. ",Air emissions data is manually recorded or collected after the fact. Analysis is retrospective and used primarily for compliance reporting rather than operational control.,1,Environmental,Air pollution,,,
Process current,"Within the process dimension (equipment, production), what is your digital air pollutant intelligence? Please click on the description that best fits your company's current situation. ","Digital tools provide real-time data on emissions and trace deviations or spikes to specific processes, equipment, or operating conditions.",2,Environmental,Air pollution,,,
Process current,"Within the process dimension (equipment, production), what is your digital air pollutant intelligence? Please click on the description that best fits your company's current situation. ","Predictive analytics forecast potential emissions events (e.g., venting, VOC exceedances) based on process conditions, feedstock variability, or equipment status, allowing teams to proactively prepare or intervene.",3,Environmental,Air pollution,,,
Process current,"Within the process dimension (equipment, production), what is your digital air pollutant intelligence? Please click on the description that best fits your company's current situation. ","Systems automatically adjust process parameters or activate abatement measures (e.g., scrubbers, thermal oxidizers) to prevent emissions from exceeding regulatory or internal thresholds, optimizing both process and environmental performance.",4,Environmental,Air pollution,,,
Process current,"Within the process dimension (equipment, production), what is your digital air pollutant intelligence? Please click on the description that best fits your company's current situation. ","AI-driven systems continuously monitor and optimize both core processes and emissions control systems in real time, autonomously managing emissions to stay within compliance limits and minimize environmental impact, without human intervention.",5,Environmental,Air pollution,,,
Process future,"Within the process dimension (equipment, production), what is your goal for your digital air pollutant intelligence? Please click on the description that best fits your company's future desired situation. ",Air emissions data is manually recorded or collected after the fact. Analysis is retrospective and used primarily for compliance reporting rather than operational control.,1,Environmental,Air pollution,,,
Process future,"Within the process dimension (equipment, production), what is your goal for your digital air pollutant intelligence? Please click on the description that best fits your company's future desired situation. ","Digital tools provide real-time data on emissions and trace deviations or spikes to specific processes, equipment, or operating conditions.",2,Environmental,Air pollution,,,
Process future,"Within the process dimension (equipment, production), what is your goal for your digital air pollutant intelligence? Please click on the description that best fits your company's future desired situation. ","Predictive analytics forecast potential emissions events (e.g., venting, VOC exceedances) based on process conditions, feedstock variability, or equipment status, allowing teams to proactively prepare or intervene.",3,Environmental,Air pollution,,,
Process future,"Within the process dimension (equipment, production), what is your goal for your digital air pollutant intelligence? Please click on the description that best fits your company's future desired situation. ","Systems automatically adjust process parameters or activate abatement measures (e.g., scrubbers, thermal oxidizers) to prevent emissions from exceeding regulatory or internal thresholds, optimizing both process and environmental performance.",4,Environmental,Air pollution,,,
Process future,"Within the process dimension (equipment, production), what is your goal for your digital air pollutant intelligence? Please click on the description that best fits your company's future desired situation. ","AI-driven systems continuously monitor and optimize both core processes and emissions control systems in real time, autonomously managing emissions to stay within compliance limits and minimize environmental impact, without human intervention.",5,Environmental,Air pollution,,,
Policy current,"Within the policy dimension (strategy, formalization), what is your digital air pollutant integration? Please click on the description that best fits your company's current situation. ","Static air pollutant emissions targets exist, but they are not connected to digital systems. Monitoring and control are manual and retrospective.",1,Environmental,Air pollution,,,
Policy current,"Within the policy dimension (strategy, formalization), what is your digital air pollutant integration? Please click on the description that best fits your company's current situation. ","Policies require digital diagnostics and audits to monitor air emissions events, with systems identifying sources and patterns of emissions.",2,Environmental,Air pollution,,,
Policy current,"Within the policy dimension (strategy, formalization), what is your digital air pollutant integration? Please click on the description that best fits your company's current situation. ","Predictive emissions modelling is embedded in operational planning and reporting, allowing early identification of potential exceedances and risk areas.",3,Environmental,Air pollution,,,
Policy current,"Within the policy dimension (strategy, formalization), what is your digital air pollutant integration? Please click on the description that best fits your company's current situation. ","Prescriptive digital control systems are mandated for high-risk processes (e.g., painting, sterilisation), optimising emissions in real time based on process data.",4,Environmental,Air pollution,,,
Policy current,"Within the policy dimension (strategy, formalization), what is your digital air pollutant integration? Please click on the description that best fits your company's current situation. ","Policies require adaptive, autonomous emissions reduction systems as standard, with digital platforms self-adjusting to minimise emissions and human involvement limited to exception handling.",5,Environmental,Air pollution,,,
Policy future,"Within the policy dimension (strategy, formalization), what is your goal for your digital air pollutant integration? Please click on the description that best fits your company's future desired situation. ","Static air pollutant emissions targets exist, but they are not connected to digital systems. Monitoring and control are manual and retrospective.",1,Environmental,Air pollution,,,
Policy future,"Within the policy dimension (strategy, formalization), what is your goal for your digital air pollutant integration? Please click on the description that best fits your company's future desired situation. ","Policies require digital diagnostics and audits to monitor air emissions events, with systems identifying sources and patterns of emissions.",2,Environmental,Air pollution,,,
Policy future,"Within the policy dimension (strategy, formalization), what is your goal for your digital air pollutant integration? Please click on the description that best fits your company's future desired situation. ","Predictive emissions modelling is embedded in operational planning and reporting, allowing early identification of potential exceedances and risk areas.",3,Environmental,Air pollution,,,
Policy future,"Within the policy dimension (strategy, formalization), what is your goal for your digital air pollutant integration? Please click on the description that best fits your company's future desired situation. ","Prescriptive digital control systems are mandated for high-risk processes (e.g., painting, sterilisation), optimising emissions in real time based on process data.",4,Environmental,Air pollution,,,
Policy future,"Within the policy dimension (strategy, formalization), what is your goal for your digital air pollutant integration? Please click on the description that best fits your company's future desired situation. ","Policies require adaptive, autonomous emissions reduction systems as standard, with digital platforms self-adjusting to minimise emissions and human involvement limited to exception handling.",5,Environmental,Air pollution,,,
People current,"Within the people dimension (skills, knowledge), what is your digital hazardous chemical use competency? Please click on the description that best fits your company's current situation. ",Employees are made aware of the risks and legal obligations related to hazardous chemical use. Digital tracking is limited or non-existent at the operator level.,1,Environmental,Hazardous chemical use,,,
People current,"Within the people dimension (skills, knowledge), what is your digital hazardous chemical use competency? Please click on the description that best fits your company's current situation. ",Operators receive training on using digital dashboards  to monitor and trace hazardous substance usage in real time.,2,Environmental,Hazardous chemical use,,,
People current,"Within the people dimension (skills, knowledge), what is your digital hazardous chemical use competency? Please click on the description that best fits your company's current situation. ","Employees use predictive alerts and system notifications to identify potential overuse, exposure risks, or compliance issues before they occur.",3,Environmental,Hazardous chemical use,,,
People current,"Within the people dimension (skills, knowledge), what is your digital hazardous chemical use competency? Please click on the description that best fits your company's current situation. ","Staff work with prescriptive tools that recommend safer handling procedures or viable substitutions for hazardous chemicals, which are integrated into workflows.",4,Environmental,Hazardous chemical use,,,
People current,"Within the people dimension (skills, knowledge), what is your digital hazardous chemical use competency? Please click on the description that best fits your company's current situation. ",Employees contribute to digital communities of practice focused on continuous improvement and substitution strategies. Feedback loops help evolve adaptive systems that minimize hazardous chemical use.,5,Environmental,Hazardous chemical use,,,
People future,"Within the people dimension (skills, knowledge), what is your goal for your digital hazardous chemical use competency? Please click on the description that best fits your company's future desired situation. ",Employees are made aware of the risks and legal obligations related to hazardous chemical use. Digital tracking is limited or non-existent at the operator level.,1,Environmental,Hazardous chemical use,,,
People future,"Within the people dimension (skills, knowledge), what is your goal for your digital hazardous chemical use competency? Please click on the description that best fits your company's future desired situation. ",Operators receive training on using digital dashboards  to monitor and trace hazardous substance usage in real time.,2,Environmental,Hazardous chemical use,,,
People future,"Within the people dimension (skills, knowledge), what is your goal for your digital hazardous chemical use competency? Please click on the description that best fits your company's future desired situation. ","Employees use predictive alerts and system notifications to identify potential overuse, exposure risks, or compliance issues before they occur.",3,Environmental,Hazardous chemical use,,,
People future,"Within the people dimension (skills, knowledge), what is your goal for your digital hazardous chemical use competency? Please click on the description that best fits your company's future desired situation. ","Staff work with prescriptive tools that recommend safer handling procedures or viable substitutions for hazardous chemicals, which are integrated into workflows.",4,Environmental,Hazardous chemical use,,,
People future,"Within the people dimension (skills, knowledge), what is your goal for your digital hazardous chemical use competency? Please click on the description that best fits your company's future desired situation. ",Employees contribute to digital communities of practice focused on continuous improvement and substitution strategies. Feedback loops help evolve adaptive systems that minimize hazardous chemical use.,5,Environmental,Hazardous chemical use,,,
Process current,"Within the process dimension (equipment, production), what is your digital hazardous chemical use intelligence? Please click on the description that best fits your company's current situation. ","Hazardous chemical use is logged manually or tracked on a batch-by-batch basis. Data is used for compliance or inventory purposes, with limited insight into operational efficiency or risk.",1,Environmental,Hazardous chemical use,,,
Process current,"Within the process dimension (equipment, production), what is your digital hazardous chemical use intelligence? Please click on the description that best fits your company's current situation. ","Digital systems (e.g., ERP, MES) track hazardous material use in real time across processes, enabling better visibility, traceability, and incident response.",2,Environmental,Hazardous chemical use,,,
Process current,"Within the process dimension (equipment, production), what is your digital hazardous chemical use intelligence? Please click on the description that best fits your company's current situation. ","Predictive models forecast future hazardous chemical demand based on production schedules and historical usage, while also identifying risks of overuse, waste, or non-compliance.",3,Environmental,Hazardous chemical use,,,
Process current,"Within the process dimension (equipment, production), what is your digital hazardous chemical use intelligence? Please click on the description that best fits your company's current situation. ","Systems recommend improvements such as safer material substitutions, optimized process parameters, or smarter procurement strategies to reduce hazardous chemical use while maintaining performance.",4,Environmental,Hazardous chemical use,,,
Process current,"Within the process dimension (equipment, production), what is your digital hazardous chemical use intelligence? Please click on the description that best fits your company's current situation. ","AI systems autonomously manage procurement, process recipes, and production parameters in real time to minimize the use of hazardous chemicals, balancing cost, safety, and environmental goals without human input.",5,Environmental,Hazardous chemical use,,,
Process future,"Within the process dimension (equipment, production), what is your goal for your digital hazardous chemical use intelligence? Please click on the description that best fits your company's future desired situation. ","Hazardous chemical use is logged manually or tracked on a batch-by-batch basis. Data is used for compliance or inventory purposes, with limited insight into operational efficiency or risk.",1,Environmental,Hazardous chemical use,,,
Process future,"Within the process dimension (equipment, production), what is your goal for your digital hazardous chemical use intelligence? Please click on the description that best fits your company's future desired situation. ","Digital systems (e.g., ERP, MES) track hazardous material use in real time across processes, enabling better visibility, traceability, and incident response.",2,Environmental,Hazardous chemical use,,,
Process future,"Within the process dimension (equipment, production), what is your goal for your digital hazardous chemical use intelligence? Please click on the description that best fits your company's future desired situation. ","Predictive models forecast future hazardous chemical demand based on production schedules and historical usage, while also identifying risks of overuse, waste, or non-compliance.",3,Environmental,Hazardous chemical use,,,
Process future,"Within the process dimension (equipment, production), what is your goal for your digital hazardous chemical use intelligence? Please click on the description that best fits your company's future desired situation. ","Systems recommend improvements such as safer material substitutions, optimized process parameters, or smarter procurement strategies to reduce hazardous chemical use while maintaining performance.",4,Environmental,Hazardous chemical use,,,
